GTFS route_id,GTFS direction_id,Year,Day Type,Boardings
1,1,FY2017,Weekday,5422.2
4,1,FY2017,Weekday,207.3
5,1,FY2017,Weekday,60.3
7,1,FY2017,Weekday,2531.2
8,1,FY2017,Weekday,1489.4
9,1,FY2017,Weekday,2902.1
10,1,FY2017,Weekday,1406.2
11,1,FY2017,Weekday,1929.9
14,1,FY2017,Weekday,562.9
15,1,FY2017,Weekday,3031.4
16,1,FY2017,Weekday,2328.4
17,1,FY2017,Weekday,1618.5
18,1,FY2017,Weekday,198.6
19,1,FY2017,Weekday,1620.1
21,1,FY2017,Weekday,2002.4
22,1,FY2017,Weekday,4073.4
23,1,FY2017,Weekday,5781.7
24,1,FY2017,Weekday,691.4
26,1,FY2017,Weekday,936.982
27,1,FY2017,Weekday,424.4
28,1,FY2017,Weekday,6299.1925
29,1,FY2017,Weekday,962.2
30,1,FY2017,Weekday,1061.3
31,1,FY2017,Weekday,2830.7
32,1,FY2017,Weekday,4625.2
33,1,FY2017,Weekday,429
34,1,FY2017,Weekday,1669.1
34E,1,FY2017,Weekday,1299.9
35,1,FY2017,Weekday,961.5
36,1,FY2017,Weekday,1357.6
37,1,FY2017,Weekday,637.8
38,1,FY2017,Weekday,364.5
39,1,FY2017,Weekday,4752.2
40,1,FY2017,Weekday,677.2
41,1,FY2017,Weekday,990.7
42,1,FY2017,Weekday,1086.4
43,1,FY2017,Weekday,626.7
44,1,FY2017,Weekday,1638.7
45,1,FY2017,Weekday,1800.4
47,1,FY2017,Weekday,2132
50,1,FY2017,Weekday,583.7
51,1,FY2017,Weekday,764.3
52,1,FY2017,Weekday,232.7
55,1,FY2017,Weekday,382
57,1,FY2017,Weekday,4437.7
57A,1,FY2017,Weekday,810.7
59,1,FY2017,Weekday,628.4
60,1,FY2017,Weekday,561.1
62,1,FY2017,Weekday,668.9
64,1,FY2017,Weekday,1062.2
65,1,FY2017,Weekday,1231.5
66,1,FY2017,Weekday,5980.2
67,1,FY2017,Weekday,287.5
68,1,FY2017,Weekday,198.2
69,1,FY2017,Weekday,1330.2
70,1,FY2017,Weekday,2393.4
70A,1,FY2017,Weekday,765.2
71,1,FY2017,Weekday,2389
72,1,FY2017,Weekday,511.6
73,1,FY2017,Weekday,3210.6
74,1,FY2017,Weekday,379.2
75,1,FY2017,Weekday,247.4
76,1,FY2017,Weekday,438
77,1,FY2017,Weekday,3332.6
78,1,FY2017,Weekday,779.1
79,1,FY2017,Weekday,569.6
80,1,FY2017,Weekday,1034
83,1,FY2017,Weekday,739
84,1,FY2017,Weekday,187.9
85,1,FY2017,Weekday,348.1
86,1,FY2017,Weekday,2514.6
87,1,FY2017,Weekday,1655.6
88,1,FY2017,Weekday,2092.6
89,1,FY2017,Weekday,1829.5
90,1,FY2017,Weekday,494
91,1,FY2017,Weekday,689.5
92,1,FY2017,Weekday,508.4
93,1,FY2017,Weekday,2009.2
94,1,FY2017,Weekday,766.3
95,1,FY2017,Weekday,760.4
96,1,FY2017,Weekday,1001.5
97,1,FY2017,Weekday,474.8
99,1,FY2017,Weekday,684.8
100,1,FY2017,Weekday,380.9
101,1,FY2017,Weekday,2355.1
104,1,FY2017,Weekday,1927.7
105,1,FY2017,Weekday,522.8
106,1,FY2017,Weekday,1454.3
108,1,FY2017,Weekday,1521.5
109,1,FY2017,Weekday,1558.6
110,1,FY2017,Weekday,1675.6
111,1,FY2017,Weekday,5943.3
112,1,FY2017,Weekday,668.8
