GTFS sto_id,Stop Name,Year,Day Type,Boardings,Alightings,,,,,,,,,,,,
1,WASHINGTON ST OPP RUGGLES ST,FY2017,Weekday,147,247,,,,,,,,,,,,
2,WASHINGTON ST @ MELNEA CASS B,FY2017,Weekday,98,58,,,,,,,,,,,,
3,WASHINGTON ST @ MELNEA CASS B,FY2017,Weekday,370,103,,,,,,,,,,,,
4,WASHINGTON ST @ LENOX ST,FY2017,Weekday,305,280,,,,,,,,,,,,
5,WASHINGTON ST @ MASSACHUSETTS,FY2017,Weekday,736,264,,,,,,,,,,,,
6,MELNEA CASS BLVD @ HARRISON A,FY2017,Weekday,28,23,,,,,,,,,,,,
7,MELNEA CASS BLVD @ WASHINGTON,FY2017,Weekday,48,36,,,,,,,,,,,,
8,MASSACHUSETTS AVE @ ISLAND ST,FY2017,Weekday,79,40,,,,,,,,,,,,
10,THEO GLYNN WAY @ NEWMARKET SQ,FY2017,Weekday,1,2,,,,,,,,,,,,
11,MELNEA CASS BLVD @ KERR WAY,FY2017,Weekday,61,49,,,,,,,,,,,,
13,ANDREW STATION BUSWAY,FY2017,Weekday,"2,693","2,497",,,,,,,,,,,,
14,DORCHESTER ST @ DORCHESTER AV,FY2017,Weekday,52,31,,,,,,,,,,,,
15,DORCHESTER ST @ VINTON ST,FY2017,Weekday,15,18,,,,,,,,,,,,
16,DORCHESTER ST @ OLD COLONY AV,FY2017,Weekday,18,53,,,,,,,,,,,,
17,DORCHESTER ST @ E 8TH ST,FY2017,Weekday,26,69,,,,,,,,,,,,
18,180 DORCHESTER ST OPP W 7TH S,FY2017,Weekday,28,25,,,,,,,,,,,,
19,DORCHESTER ST @ OLD HARBOR ST,FY2017,Weekday,3,37,,,,,,,,,,,,
20,DORCHESTER ST @ E BROADWAY,FY2017,Weekday,8,99,,,,,,,,,,,,
21,E BROADWAY @ G ST,FY2017,Weekday,18,295,,,,,,,,,,,,
22,E BROADWAY @ H ST,FY2017,Weekday,8,174,,,,,,,,,,,,
23,E BROADWAY @ I ST,FY2017,Weekday,7,229,,,,,,,,,,,,
24,E BROADWAY @ K ST,FY2017,Weekday,9,350,,,,,,,,,,,,
25,E BROADWAY @ L ST,FY2017,Weekday,13,185,,,,,,,,,,,,
26,E BROADWAY @ M ST,FY2017,Weekday,5,222,,,,,,,,,,,,
27,E BROADWAY @ N ST,FY2017,Weekday,8,250,,,,,,,,,,,,
28,E BROADWAY @ O ST,FY2017,Weekday,4,226,,,,,,,,,,,,
29,E BROADWAY @ P ST,FY2017,Weekday,34,224,,,,,,,,,,,,
30,E BROADWAY @ FARRAGUT RD,FY2017,Weekday,3,70,,,,,,,,,,,,
32,FARRAGUT RD OPP E 2ND ST,FY2017,Weekday,2,34,,,,,,,,,,,,
33,CITY POINT BUS TERMINAL,FY2017,Weekday,242,354,,,,,,,,,,,,
34,P ST @ E 2ND ST,FY2017,Weekday,108,4,,,,,,,,,,,,
35,P ST @ E BROADWAY,FY2017,Weekday,528,9,,,,,,,,,,,,
41,E BROADWAY @ L ST,FY2017,Weekday,251,6,,,,,,,,,,,,
42,E BROADWAY @ K ST,FY2017,Weekday,294,9,,,,,,,,,,,,
43,E BROADWAY @ I ST,FY2017,Weekday,237,8,,,,,,,,,,,,
44,E BROADWAY @ H ST,FY2017,Weekday,167,9,,,,,,,,,,,,
45,E BROADWAY @ G ST,FY2017,Weekday,245,18,,,,,,,,,,,,
46,DORCHESTER ST @ BROADWAY,FY2017,Weekday,102,12,,,,,,,,,,,,
47,DORCHESTER ST @ W 5TH ST,FY2017,Weekday,31,6,,,,,,,,,,,,
48,DORCHESTER ST @ W 6TH ST,FY2017,Weekday,24,3,,,,,,,,,,,,
49,DORCHESTER ST @ W 8TH ST,FY2017,Weekday,39,32,,,,,,,,,,,,
50,DORCHESTER ST @ OLD COLONY AV,FY2017,Weekday,30,21,,,,,,,,,,,,
51,DORCHESTER ST @ MIDDLE ST,FY2017,Weekday,6,8,,,,,,,,,,,,
52,DORCHESTER ST @ DORCHESTER AV,FY2017,Weekday,11,142,,,,,,,,,,,,
55,WASHINGTON ST @ MASSACHUSETTS,FY2017,Weekday,297,546,,,,,,,,,,,,
56,SOUTHAMPTON ST @ ATKINSON ST,FY2017,Weekday,68,78,,,,,,,,,,,,
57,MASSACHUSETTS AVE @ ALBANY ST,FY2017,Weekday,399,370,,,,,,,,,,,,
58,MASSACHUSETTS AVE @ HARRISON,FY2017,Weekday,"1,038",287,,,,,,,,,,,,
59,MASSACHUSETTS AVE @ WASHINGTO,FY2017,Weekday,65,323,,,,,,,,,,,,
60,WASHINGTON ST @ LENOX ST,FY2017,Weekday,220,306,,,,,,,,,,,,
61,WASHINGTON ST @ MELNEA CASS B,FY2017,Weekday,95,450,,,,,,,,,,,,
62,WASHINGTON ST @ WILLIAMS ST,FY2017,Weekday,20,121,,,,,,,,,,,,
63,WASHINGTON ST @ RUGGLES ST,FY2017,Weekday,11,104,,,,,,,,,,,,
64,DUDLEY STATION,FY2017,Weekday,"5,492","5,928",,,,,,,,,,,,
65,STATE ST @ WASHINGTON MALL -,FY2017,Weekday,456,471,,,,,,,,,,,,
66,MT AUBURN ST @ DEWOLFE ST,FY2017,Weekday,81,3,,,,,,,,,,,,
67,MT AUBURN ST @ PUTNAM AVE,FY2017,Weekday,217,21,,,,,,,,,,,,
68,MASSACHUSETTS AVE @ BAY ST,FY2017,Weekday,222,26,,,,,,,,,,,,
69,MASSACHUSETTS AVE @ HANCOCK S,FY2017,Weekday,124,27,,,,,,,,,,,,
71,MASSACHUSETTS AVE @ PLEASANT,FY2017,Weekday,133,59,,,,,,,,,,,,
72,MASSACHUSETTS AVE @ PEARL ST,FY2017,Weekday,"1,707","1,853",,,,,,,,,,,,
73,MASSACHUSETTS AVE @ SIDNEY ST,FY2017,Weekday,345,227,,,,,,,,,,,,
74,MASSACHUSETTS AVE @ ALBANY ST,FY2017,Weekday,201,82,,,,,,,,,,,,
75,84 MASSACHUSETTS AVE,FY2017,Weekday,434,178,,,,,,,,,,,,
77,MASSACHUSETTS AVE @ MARLBOROU,FY2017,Weekday,49,211,,,,,,,,,,,,
79,MASSACHUSETTS AVE @ NEWBURY S,FY2017,Weekday,507,891,,,,,,,,,,,,
80,MASSACHUSETTS AVE OPP CHRISTI,FY2017,Weekday,179,232,,,,,,,,,,,,
82,MASSACHUSETTS AVE @ HUNTINGTO,FY2017,Weekday,178,226,,,,,,,,,,,,
83,MASSACHUSETTS AVE @ COLUMBUS,FY2017,Weekday,37,41,,,,,,,,,,,,
84,MASSACHUSETTS AVE @ TREMONT S,FY2017,Weekday,51,135,,,,,,,,,,,,
87,MASSACHUSETTS AVE @ TREMONT S,FY2017,Weekday,155,50,,,,,,,,,,,,
88,MASSACHUSETTS AVE @ COLUMBUS,FY2017,Weekday,83,41,,,,,,,,,,,,
89,MASSACHUSETTS AVE @ ST BOTOLP,FY2017,Weekday,337,145,,,,,,,,,,,,
91,MASSACHUSETTS AVE @ CLEARWAY,FY2017,Weekday,217,141,,,,,,,,,,,,
93,MASSACHUSETTS AVE @ NEWBURY S,FY2017,Weekday,"1,121",502,,,,,,,,,,,,
95,MASSACHUSETTS AVE @ BEACON ST,FY2017,Weekday,206,34,,,,,,,,,,,,
96,MASSACHUSETTS AVE @ MEMORIAL,FY2017,Weekday,19,106,,,,,,,,,,,,
97,77 MASSACHUSETTS AVE,FY2017,Weekday,262,337,,,,,,,,,,,,
99,MASSACHUSETTS AVE @ ALBANY ST,FY2017,Weekday,95,212,,,,,,,,,,,,
101,MASSACHUSETTS AVE @ SIDNEY ST,FY2017,Weekday,96,370,,,,,,,,,,,,
102,MASSACHUSETTS AVE @ PROSPECT,FY2017,Weekday,265,814,,,,,,,,,,,,
104,MASSACHUSETTS AVE @ BIGELOW S,FY2017,Weekday,87,106,,,,,,,,,,,,
