Stop #,Stop Name,Year,Day Type,Boardings,Alightings
1,WASHINGTON ST OPP RUGGLES ST,FY2018,Weekday,130,155
2,WASHINGTON ST @ MELNEA CASS B,FY2018,Weekday,105,51
3,WASHINGTON ST @ MELNEA CASS B,FY2018,Weekday,338,99
4,WASHINGTON ST @ LENOX ST,FY2018,Weekday,296,266
5,WASHINGTON ST @ MASSACHUSETTS,FY2018,Weekday,690,277
6,MELNEA CASS BLVD @ HARRISON A,FY2018,Weekday,30,28
7,MELNEA CASS BLVD @ WASHINGTON,FY2018,Weekday,49,33
8,MASSACHUSETTS AVE @ ISLAND ST,FY2018,Weekday,22,51
10,THEO GLYNN WAY @ NEWMARKET SQ,FY2018,Weekday,0, -   
11,MELNEA CASS BLVD @ KERR WAY,FY2018,Weekday,23,23
13,ANDREW STATION BUSWAY,FY2018,Weekday,"2,755","2,583"
14,DORCHESTER ST @ DORCHESTER AV,FY2018,Weekday,120,54
15,DORCHESTER ST @ VINTON ST,FY2018,Weekday,6,10
16,DORCHESTER ST @ OLD COLONY AV,FY2018,Weekday,17,59
17,DORCHESTER ST @ E 8TH ST,FY2018,Weekday,28,80
18,180 DORCHESTER ST OPP W 7TH S,FY2018,Weekday,30,19
19,DORCHESTER ST @ OLD HARBOR ST,FY2018,Weekday,2,35
20,DORCHESTER ST @ E BROADWAY,FY2018,Weekday,9,89
21,E BROADWAY @ G ST,FY2018,Weekday,21,319
22,E BROADWAY @ H ST,FY2018,Weekday,8,190
23,E BROADWAY @ I ST,FY2018,Weekday,10,245
24,E BROADWAY @ K ST,FY2018,Weekday,9,377
25,E BROADWAY @ L ST,FY2018,Weekday,18,205
26,E BROADWAY @ M ST,FY2018,Weekday,3,235
27,E BROADWAY @ N ST,FY2018,Weekday,10,297
28,E BROADWAY @ O ST,FY2018,Weekday,4,262
29,E BROADWAY @ P ST,FY2018,Weekday,32,247
30,E BROADWAY @ FARRAGUT RD,FY2018,Weekday,1,73
32,FARRAGUT RD OPP E 2ND ST,FY2018,Weekday,4,40
33,CITY POINT BUS TERMINAL,FY2018,Weekday,334,320
34,P ST @ E 2ND ST,FY2018,Weekday,107,1
35,P ST @ E BROADWAY,FY2018,Weekday,495,3
41,E BROADWAY @ L ST,FY2018,Weekday,263,7
42,E BROADWAY @ K ST,FY2018,Weekday,312,8
43,E BROADWAY @ I ST,FY2018,Weekday,263,7
44,E BROADWAY @ H ST,FY2018,Weekday,177,9
45,E BROADWAY @ G ST,FY2018,Weekday,253,22
46,DORCHESTER ST @ BROADWAY,FY2018,Weekday,84,14
47,DORCHESTER ST @ W 5TH ST,FY2018,Weekday,32,2
48,DORCHESTER ST @ W 6TH ST,FY2018,Weekday,16,3
49,DORCHESTER ST @ W 8TH ST,FY2018,Weekday,43,24
50,DORCHESTER ST @ OLD COLONY AV,FY2018,Weekday,35,16
51,DORCHESTER ST @ MIDDLE ST,FY2018,Weekday,6,9
52,DORCHESTER ST @ DORCHESTER AV,FY2018,Weekday,7,108
55,WASHINGTON ST @ MASSACHUSETTS,FY2018,Weekday,343,559
56,SOUTHAMPTON ST @ ATKINSON ST,FY2018,Weekday,70,71
57,MASSACHUSETTS AVE @ ALBANY ST,FY2018,Weekday,382,360
58,MASSACHUSETTS AVE @ HARRISON,FY2018,Weekday,"1,099",279
59,MASSACHUSETTS AVE @ WASHINGTO,FY2018,Weekday,67,346
60,WASHINGTON ST @ LENOX ST,FY2018,Weekday,211,302
61,WASHINGTON ST @ MELNEA CASS B,FY2018,Weekday,109,450
62,WASHINGTON ST @ WILLIAMS ST,FY2018,Weekday,22,122
63,WASHINGTON ST @ RUGGLES ST,FY2018,Weekday,9,111
64,DUDLEY STATION,FY2018,Weekday,"5,466","6,412"
65,STATE ST @ WASHINGTON MALL -,FY2018,Weekday,345,460
66,MT AUBURN ST @ DEWOLFE ST,FY2018,Weekday,87,3
67,MT AUBURN ST @ PUTNAM AVE,FY2018,Weekday,228,21
68,MASSACHUSETTS AVE @ BAY ST,FY2018,Weekday,200,20
69,MASSACHUSETTS AVE @ HANCOCK S,FY2018,Weekday,127,23
71,MASSACHUSETTS AVE @ PLEASANT,FY2018,Weekday,139,59
72,MASSACHUSETTS AVE @ PEARL ST,FY2018,Weekday,"1,929","1,691"
73,MASSACHUSETTS AVE @ SIDNEY ST,FY2018,Weekday,421,248
74,MASSACHUSETTS AVE @ ALBANY ST,FY2018,Weekday,247,97
75,84 MASSACHUSETTS AVE,FY2018,Weekday,456,188
77,MASSACHUSETTS AVE @ MARLBOROU,FY2018,Weekday,56,232
79,MASSACHUSETTS AVE @ NEWBURY S,FY2018,Weekday,537,997
80,MASSACHUSETTS AVE OPP CHRISTI,FY2018,Weekday,179,244
82,MASSACHUSETTS AVE @ HUNTINGTO,FY2018,Weekday,209,295
83,MASSACHUSETTS AVE @ COLUMBUS,FY2018,Weekday,36,50
84,MASSACHUSETTS AVE @ TREMONT S,FY2018,Weekday,51,175
87,MASSACHUSETTS AVE @ TREMONT S,FY2018,Weekday,176,57
88,MASSACHUSETTS AVE @ COLUMBUS,FY2018,Weekday,86,35
89,MASSACHUSETTS AVE @ ST BOTOLP,FY2018,Weekday,374,158
91,MASSACHUSETTS AVE @ CLEARWAY,FY2018,Weekday,220,131
93,MASSACHUSETTS AVE @ NEWBURY S,FY2018,Weekday,"1,184",512
95,MASSACHUSETTS AVE @ BEACON ST,FY2018,Weekday,232,42
96,MASSACHUSETTS AVE @ MEMORIAL,FY2018,Weekday,20,115
97,77 MASSACHUSETTS AVE,FY2018,Weekday,262,368
